episode,timestep,reward
36,800,21.8611
69,1600,24.4848
106,2400,21.1081
139,3200,23.4242
175,4000,23.6111
214,4800,20.1026
252,5600,20.5789
288,6400,23.0556
322,7200,22.1176
361,8000,21.6667
401,8800,20.025
438,9600,21.4595
474,10400,22.1667
511,11200,21.7297
546,12000,22.6571
572,12800,30.8462
601,13600,28.1034
637,14400,21.9167
678,15200,19.5122
711,16000,24.303
747,16800,21.6111
782,17600,23.2286
818,18400,22.6667
851,19200,23.5758
888,20000,21.8378
923,20800,22.6286
962,21600,21.0256
998,22400,21.9444
1035,23200,21.7027
1072,24000,21.8378
1109,24800,21.4054
1138,25600,27.931
1174,26400,22.1667
1202,27200,28.6429
1234,28000,24.8438
1268,28800,23.3235
1307,29600,20.3077
1345,30400,21.1316
1387,31200,19.4286
1421,32000,22.8529
1455,32800,24.2353
1489,33600,23.4706
1525,34400,20.7778
1565,35200,21.25
1598,36000,23.3333
1629,36800,26.7742
1669,37600,19.9
1702,38400,24.0303
1738,39200,22.1667
1770,40000,24.875
1806,40800,22.6667
1841,41600,22.5143
1875,42400,22.4118
1913,43200,21.8684
1949,44000,22.6667
1979,44800,26.5667
2015,45600,22.1944
2055,46400,20.1
2093,47200,20.6316
2127,48000,23.8529
2159,48800,24.9688
2194,49600,23.2
2229,50400,22.2286
2264,51200,23.1714
2305,52000,19.7561
2341,52800,22.1667
2378,53600,21.6486
2416,54400,20.5526
2456,55200,20.25
2492,56000,22.1389
2530,56800,21.1842
2568,57600,21.1579
2602,58400,23.1176
2637,59200,22.7143
2674,60000,22.1892
2710,60800,22.3889
2743,61600,24.0909
2781,62400,20.5526
2819,63200,21.2105
2855,64000,22.5833
2886,64800,25.7097
2925,65600,20.7179
2961,66400,22.0278
2999,67200,20.9211
3036,68000,21.9189
3071,68800,22.4571
3106,69600,23.0286
3138,70400,24.9375
3175,71200,21.5946
3211,72000,22.4722
3244,72800,23.8182
3277,73600,24.5758
3311,74400,23.5
3344,75200,24.3333
3380,76000,20.1389
3410,76800,29.0333
3446,77600,22.4167
3482,78400,21.75
3519,79200,22.027
3552,80000,24.303
3585,80800,23.9394
3623,81600,21.2105
3657,82400,23.4118
3693,83200,22.2778
3731,84000,20.6842
3768,84800,21.9459
3808,85600,20.1
3844,86400,22.1667
3878,87200,23.0882
3916,88000,21.4737
3950,88800,22.2353
3985,89600,23.6571
4019,90400,23.9118
4056,91200,21.1622
4091,92000,22.8571
4126,92800,23.5143
4163,93600,21.5946
4204,94400,19.2195
4246,95200,18.8571
4285,96000,21.1026
4321,96800,21.9167
4358,97600,21.5676
4396,98400,21.2632
4432,99200,22.3333
4466,100000,23.3824
