episode,timestep,reward
1,2000,-386.0274
3,4000,-436.8356
5,6000,-368.2511
7,8000,-337.396
9,10000,-372.3784
11,12000,-319.0841
13,14000,-347.1904
15,16000,-323.9756
17,18000,-332.938
19,20000,-377.7225
21,22000,-262.8729
23,24000,-358.7786
25,26000,-355.5481
27,28000,-393.9136
29,30000,-258.0582
31,32000,-283.1439
33,34000,-205.0896
35,36000,-222.4273
37,38000,-223.512
39,40000,-172.9578
41,42000,-213.735
43,44000,-273.1787
45,46000,-214.6091
47,48000,-304.0615
49,50000,-156.421
51,52000,-254.3062
53,54000,-136.1045
55,56000,-238.3649
57,58000,-210.3881
59,60000,-256.7836
61,62000,-165.2934
63,64000,-74.4178
65,66000,-122.5846
67,68000,-135.8364
69,70000,-219.8703
71,72000,-130.1166
73,74000,-92.6248
75,76000,-107.6435
77,78000,-195.3731
79,80000,-167.5642
81,82000,-69.3272
83,84000,-120.3446
85,86000,-122.9839
87,88000,-93.2346
89,90000,-146.5258
91,92000,-117.9349
93,94000,-84.9005
95,96000,-221.5563
97,98000,-99.8891
99,100000,-67.7052
101,102000,-169.3878
103,104000,-238.6883
105,106000,-121.1157
107,108000,-119.3927
109,110000,-119.1599
111,112000,-71.2576
113,114000,-49.0229
115,116000,-183.3923
117,118000,-107.9241
119,120000,-113.5273
121,122000,-149.308
123,124000,-69.3032
125,126000,-193.3225
127,128000,-52.9762
129,130000,-137.0036
131,132000,-148.6035
133,134000,-112.4079
135,136000,-176.4537
137,138000,-25.9894
139,140000,-86.9569
141,142000,-69.3221
143,144000,-175.119
145,146000,-22.1849
147,148000,-105.9668
149,150000,-0.9256
151,152000,-97.4158
153,154000,-61.093
155,156000,-83.2034
157,158000,-38.7629
159,160000,-54.3073
161,162000,-68.2585
163,164000,-54.4788
165,166000,-115.7585
167,168000,-9.1259
169,170000,-62.1371
171,172000,-57.8192
173,174000,-116.7331
175,176000,14.5362
177,178000,-44.6256
179,180000,-104.6633
181,182000,-72.7345
183,184000,-27.2136
185,186000,-29.3569
187,188000,-52.9151
189,190000,-9.7886
191,192000,-6.4459
193,194000,-36.9659
195,196000,-17.5405
197,198000,-173.7105
199,200000,-12.399
201,202000,8.9951
203,204000,-139.0503
205,206000,3.2556
207,208000,-80.4466
209,210000,-38.2629
211,212000,19.0447
213,214000,-92.7022
215,216000,-9.8858
217,218000,-35.4199
219,220000,30.9091
221,222000,-13.813
223,224000,-121.824
225,226000,28.014
227,228000,-19.9089
229,230000,-42.9582
231,232000,-104.6997
233,234000,-101.8345
235,236000,-4.1279
237,238000,7.0906
239,240000,16.8098
241,242000,-12.935
243,244000,-57.2917
245,246000,53.8466
247,248000,-42.0239
249,250000,-43.0961
251,252000,-69.2638
253,254000,3.9915
255,256000,-20.4755
257,258000,3.5349
259,260000,-40.4656
261,262000,43.4075
263,264000,-38.0931
265,266000,87.7861
267,268000,2.3947
269,270000,27.3048
271,272000,108.2685
273,274000,19.7433
275,276000,171.5613
277,278000,27.6176
279,280000,-54.9594
281,282000,46.4916
283,284000,97.6297
285,286000,66.7146
287,288000,41.0401
289,290000,120.6257
291,292000,85.9918
293,294000,77.9087
295,296000,47.337
297,298000,34.313
299,300000,33.2247
301,302000,33.4188
303,304000,75.5568
305,306000,56.3867
307,308000,36.6708
309,310000,-5.5967
311,312000,-160.4923
313,314000,89.2731
315,316000,48.7754
317,318000,107.335
319,320000,128.5096
321,322000,9.8177
323,324000,-55.7399
325,326000,-139.9266
327,328000,59.231
329,330000,63.3204
331,332000,54.1831
333,334000,61.8653
335,336000,77.7902
337,338000,53.7343
339,340000,75.6645
341,342000,124.3969
343,344000,46.8553
345,346000,33.1596
347,348000,116.9931
349,350000,14.1052
351,352000,189.2076
353,354000,14.4472
355,356000,59.2495
357,358000,-144.1287
359,360000,35.0877
361,362000,116.7198
363,364000,158.7106
365,366000,26.5955
367,368000,102.1936
369,370000,137.6371
371,372000,112.4623
373,374000,109.1917
375,376000,71.9795
377,378000,78.2958
379,380000,113.0691
381,382000,19.1698
383,384000,133.6717
385,386000,132.6283
387,388000,52.0809
389,390000,21.2381
391,392000,92.2842
393,394000,116.7995
395,396000,134.0292
397,398000,102.393
399,400000,79.3444
401,402000,193.1893
403,404000,108.4239
405,406000,0.0279
407,408000,53.857
409,410000,112.5196
411,412000,75.3509
413,414000,154.8957
415,416000,90.8873
417,418000,77.4065
419,420000,142.2878
421,422000,-57.8025
423,424000,-26.8078
425,426000,92.6995
427,428000,152.6637
429,430000,32.6145
431,432000,108.3131
433,434000,140.3537
435,436000,128.6492
437,438000,90.268
439,440000,103.7921
441,442000,133.3057
443,444000,80.2123
445,446000,72.495
447,448000,159.3009
449,450000,46.3553
451,452000,144.9834
453,454000,118.4906
455,456000,36.9312
457,458000,220.7597
459,460000,48.3673
461,462000,107.0734
463,464000,104.9778
465,466000,173.6601
467,468000,128.7255
469,470000,141.3689
471,472000,82.2423
473,474000,107.9042
475,476000,-4.8542
477,478000,186.6667
479,480000,157.4313
481,482000,-76.2923
483,484000,24.3452
485,486000,141.3284
487,488000,72.3194
489,490000,161.585
491,492000,142.9072
493,494000,202.1385
495,496000,144.5029
497,498000,89.7483
499,500000,131.9248
501,502000,247.4758
503,504000,244.3647
505,506000,209.1101
507,508000,254.8951
509,510000,206.2942
511,512000,186.0125
513,514000,250.3843
515,516000,252.6813
517,518000,161.9855
519,520000,256.7016
521,522000,146.4024
523,524000,171.2072
525,526000,237.021
527,528000,183.9612
529,530000,267.8689
531,532000,262.8653
533,534000,291.7308
535,536000,297.9035
537,538000,210.6415
539,540000,283.3659
541,542000,192.4499
543,544000,264.3302
545,546000,136.0081
547,548000,234.345
549,550000,157.6396
551,552000,184.3651
553,554000,225.376
555,556000,208.3479
557,558000,194.9875
559,560000,277.8077
561,562000,246.9503
563,564000,230.2273
565,566000,279.8977
567,568000,305.8562
569,570000,-56.6114
571,572000,237.3054
573,574000,351.6338
575,576000,250.0539
577,578000,162.6249
579,580000,266.0356
581,582000,300.3972
583,584000,349.4547
585,586000,226.8599
587,588000,224.9571
589,590000,263.2328
591,592000,25.6389
593,594000,241.5084
595,596000,253.3756
597,598000,237.9846
599,600000,262.1591
601,602000,247.3253
603,604000,104.0425
605,606000,269.6674
607,608000,232.9823
609,610000,235.7481
611,612000,290.02
613,614000,207.7921
615,616000,210.7289
617,618000,235.0594
619,620000,169.432
621,622000,255.335
623,624000,334.135
