episode,timestep,reward
7,600,-163.9486
14,1200,-155.037
20,1800,-254.9254
28,2400,-135.9477
34,3000,-210.2534
40,3600,-174.8762
48,4200,-207.6456
54,4800,-268.9118
60,5400,-191.473
66,6000,-184.1235
73,6600,-147.818
80,7200,-192.7824
87,7800,-142.8728
94,8400,-186.9418
101,9000,-124.9447
106,9600,-248.2065
113,10200,-169.9478
119,10800,-154.9927
125,11400,-181.5531
131,12000,-262.4258
137,12600,-182.7173
143,13200,-102.3122
150,13800,-175.1735
157,14400,-185.5321
163,15000,-238.2289
169,15600,-201.9219
176,16200,-119.5521
183,16800,-240.8138
190,17400,-256.5585
196,18000,-220.2537
202,18600,-226.6087
208,19200,-227.4704
214,19800,-218.8679
221,20400,-175.8522
228,21000,-146.0994
234,21600,-189.7747
240,22200,-193.4022
245,22800,-193.7464
252,23400,-197.8054
258,24000,-174.5269
264,24600,-286.6164
271,25200,-199.1989
278,25800,-199.2538
284,26400,-256.0396
290,27000,-200.4606
298,27600,-212.0117
305,28200,-178.9121
311,28800,-178.5017
318,29400,-202.5568
323,30000,-269.445
330,30600,-207.91
336,31200,-233.8449
342,31800,-192.9293
346,32400,-122.6458
353,33000,-158.9319
359,33600,-242.05
367,34200,-114.7034
374,34800,-141.8739
381,35400,-231.0009
387,36000,-152.611
395,36600,-194.0408
401,37200,-120.1241
408,37800,-192.0991
415,38400,-132.2063
422,39000,-259.0567
429,39600,-141.0022
437,40200,-142.8451
443,40800,-202.0091
449,41400,-331.8328
456,42000,-233.2166
463,42600,-174.3474
470,43200,-268.431
477,43800,-205.7218
483,44400,-87.4091
489,45000,-217.2051
496,45600,-194.3912
503,46200,-217.6253
509,46800,-242.4897
514,47400,-118.7707
521,48000,-191.4066
527,48600,-140.5051
534,49200,-244.1588
541,49800,-198.6559
548,50400,-187.6315
554,51000,-235.2353
561,51600,-202.0349
568,52200,-167.1904
576,52800,-190.489
583,53400,-204.5255
590,54000,-221.3174
596,54600,-172.4713
603,55200,-166.4915
610,55800,-158.6097
617,56400,-150.7771
624,57000,-198.0675
631,57600,-164.8719
637,58200,-146.0931
645,58800,-189.6788
653,59400,-150.567
660,60000,-216.8026
666,60600,-199.8413
672,61200,-246.691
679,61800,-171.8256
686,62400,-163.5687
692,63000,-217.8847
699,63600,-220.7693
705,64200,-156.3993
711,64800,-209.2529
717,65400,-133.3913
723,66000,-198.4764
730,66600,-183.7507
738,67200,-152.2603
745,67800,-162.1953
752,68400,-156.4128
759,69000,-155.4645
766,69600,-197.3402
772,70200,-188.1941
778,70800,-154.5312
785,71400,-219.9828
793,72000,-148.765
800,72600,-128.9536
806,73200,-156.0624
813,73800,-130.5064
820,74400,-181.839
827,75000,-214.9201
833,75600,-123.88
840,76200,-219.5166
847,76800,-122.3439
855,77400,-135.1447
861,78000,-139.959
869,78600,-192.0866
876,79200,-251.195
883,79800,-138.4472
891,80400,-146.3085
897,81000,-173.442
904,81600,-168.6762
910,82200,-153.8584
917,82800,-180.63
923,83400,-209.0776
930,84000,-161.3528
937,84600,-150.3401
943,85200,-182.4074
950,85800,-243.8751
956,86400,-132.3834
963,87000,-177.3857
970,87600,-205.171
976,88200,-131.5077
981,88800,-172.4565
987,89400,-156.7048
994,90000,-182.9925
1000,90600,-148.3492
1006,91200,-163.0774
1012,91800,-132.97
1019,92400,-227.0353
1027,93000,-158.7155
1034,93600,-154.8649
1040,94200,-143.2882
1047,94800,-135.3962
1053,95400,-160.7902
1061,96000,-142.9656
1067,96600,-233.6392
1074,97200,-166.891
1081,97800,-104.9843
1089,98400,-141.3272
1095,99000,-148.0054
1102,99600,-112.2417
1110,100200,-159.0357
1117,100800,-119.7997
1126,101400,-136.5101
1133,102000,-151.0889
1140,102600,-135.2068
1147,103200,-137.331
1153,103800,-234.774
1159,104400,-203.4265
1166,105000,-181.8664
1172,105600,-110.13
1179,106200,-131.6716
1185,106800,-154.0637
1193,107400,-104.6536
1200,108000,-174.504
1206,108600,-130.0355
1212,109200,-147.7754
1219,109800,-112.1219
1226,110400,-176.7057
1232,111000,-168.2159
1239,111600,-183.5808
1246,112200,-148.8569
1253,112800,-169.4805
1259,113400,-139.5517
1267,114000,-182.2877
1274,114600,-134.9113
1281,115200,-148.4086
1288,115800,-194.0029
1296,116400,-144.6165
1303,117000,-228.8327
1309,117600,-227.3113
1316,118200,-116.3074
1323,118800,-184.9862
1330,119400,-150.7704
1337,120000,-153.1062
1343,120600,-183.5637
1350,121200,-159.9919
1357,121800,-224.378
1363,122400,-193.1453
1370,123000,-138.0244
1377,123600,-188.9006
1384,124200,-179.5829
1390,124800,-215.3548
1397,125400,-141.667
1402,126000,-92.1431
1408,126600,-171.9176
1414,127200,-256.8097
1421,127800,-131.6534
1428,128400,-180.2809
1436,129000,-121.088
1442,129600,-175.8498
1447,130200,-111.128
1453,130800,-201.88
1459,131400,-199.4261
1467,132000,-227.1974
1474,132600,-135.8496
1479,133200,-158.5937
1486,133800,-117.0038
1492,134400,-245.5591
1497,135000,-171.2034
1504,135600,-179.1627
1510,136200,-169.7858
1516,136800,-168.5751
1522,137400,-135.1316
1529,138000,-201.8395
1535,138600,-210.5711
1543,139200,-159.6537
1549,139800,-191.9928
1556,140400,-189.0392
1562,141000,-182.9748
1569,141600,-149.3211
1575,142200,-173.3488
1582,142800,-160.618
1588,143400,-129.1321
1596,144000,-120.8372
1602,144600,-175.5909
1608,145200,-185.5504
1614,145800,-160.1445
1620,146400,-147.3264
1627,147000,-210.5368
1635,147600,-241.4964
1641,148200,-147.2695
1647,148800,-252.6153
1652,149400,-181.1661
1659,150000,-116.8591
1666,150600,-107.4462
1673,151200,-192.5968
1679,151800,-128.8632
1685,152400,-134.7504
1691,153000,-133.7054
1697,153600,-186.6294
1704,154200,-136.6201
1711,154800,-186.4577
1717,155400,-129.6959
1723,156000,-244.8711
1729,156600,-239.6005
1735,157200,-158.0649
1740,157800,-245.9022
1744,158400,-228.2303
1749,159000,-222.6151
1754,159600,-194.0216
1759,160200,-276.9219
1765,160800,-178.8438
1772,161400,-131.7246
1777,162000,-191.6223
1783,162600,-212.2178
1789,163200,-234.613
1796,163800,-177.0278
1802,164400,-194.9748
1809,165000,-160.0967
1815,165600,-342.0182
1821,166200,-240.2822
1828,166800,-215.9657
1835,167400,-168.0827
1842,168000,-132.5585
1849,168600,-191.0039
1856,169200,-223.8619
1863,169800,-207.9007
1870,170400,-219.2806
1877,171000,-190.7793
1883,171600,-135.4999
1890,172200,-170.862
1896,172800,-249.5072
1902,173400,-210.7533
1908,174000,-218.9281
1914,174600,-258.2273
1920,175200,-155.7072
1926,175800,-149.5644
1932,176400,-172.8919
1939,177000,-221.4957
1945,177600,-191.0728
1952,178200,-150.6958
1958,178800,-215.0545
1965,179400,-107.4509
1970,180000,-153.9472
1977,180600,-201.5296
1983,181200,-300.5867
1988,181800,-214.022
1994,182400,-235.4848
2001,183000,-205.8912
2007,183600,-256.375
2013,184200,-217.7092
2019,184800,-178.9353
2025,185400,-177.4954
2031,186000,-242.6587
2038,186600,-190.7974
2044,187200,-202.2502
2049,187800,-136.9713
2055,188400,-160.662
2060,189000,-227.4351
2066,189600,-226.7067
2072,190200,-176.8949
2078,190800,-169.7403
2085,191400,-158.8815
2090,192000,-217.2929
2097,192600,-136.6224
2103,193200,-242.7538
2109,193800,-184.936
2114,194400,-100.2993
2119,195000,-125.1469
2125,195600,-132.3676
2131,196200,-124.9401
2138,196800,-120.1897
2145,197400,-191.9706
2152,198000,-95.8581
2159,198600,-165.8336
2167,199200,-191.7488
2174,199800,-150.5012
2181,200400,-121.3311
2188,201000,-157.1615
2195,201600,-163.3125
2200,202200,-184.2749
2208,202800,-100.2872
2214,203400,-140.0718
2221,204000,-92.1937
2228,204600,-145.9432
2234,205200,-114.4539
2241,205800,-120.6302
2248,206400,-150.9108
2255,207000,-182.0609
2261,207600,-124.0754
2268,208200,-94.5873
2273,208800,-145.4394
2280,209400,-99.047
2287,210000,-119.2126
2293,210600,-126.5329
2299,211200,-148.7014
2304,211800,-177.1834
2309,212400,-267.9818
2314,213000,-130.7254
2318,213600,-87.3372
2322,214200,-197.6967
2327,214800,-154.9155
2333,215400,-86.5334
2339,216000,-113.6001
2344,216600,-118.4615
2349,217200,-186.4429
2354,217800,-114.4672
2360,218400,-84.0469
2367,219000,-112.3739
2374,219600,-94.1713
2380,220200,-243.4453
2386,220800,-188.0218
2390,221400,-95.4289
2397,222000,-120.5485
2403,222600,-173.515
2409,223200,-122.0693
2415,223800,-119.0101
2421,224400,-113.6191
2428,225000,-94.1262
2433,225600,-150.5886
2441,226200,-145.3913
2447,226800,-100.7242
2452,227400,-154.4596
2459,228000,-91.8226
2464,228600,-123.8681
2469,229200,-214.204
2475,229800,-48.6873
2479,230400,-131.4438
