episode,timestep,reward
38,800,20.7632
79,1600,19.4146
108,2400,27.1034
139,3200,26.5161
160,4000,34.7143
190,4800,28.6333
204,5600,57.0714
218,6400,54.7857
226,7200,99.375
237,8000,77.2727
247,8800,74.4
254,9600,118.4286
259,10400,157.6
264,11200,136.4
268,12000,219.5
271,12800,294.0
275,13600,195.75
280,14400,163.6
285,15200,152.2
288,16000,150.0
290,16800,398.5
293,17600,361.3333
296,18400,238.0
300,19200,233.75
304,20000,214.0
307,20800,210.0
311,21600,155.0
315,22400,270.75
319,23200,196.25
323,24000,210.5
327,24800,209.75
330,25600,244.6667
333,26400,278.3333
335,27200,334.0
338,28000,316.0
341,28800,177.6667
345,29600,268.25
348,30400,256.3333
351,31200,271.0
354,32000,227.3333
357,32800,310.6667
359,33600,349.5
362,34400,303.3333
364,35200,336.0
367,36000,289.0
370,36800,250.6667
373,37600,255.3333
376,38400,310.3333
378,39200,359.0
380,40000,303.0
383,40800,360.0
385,41600,327.0
388,42400,286.0
390,43200,299.5
392,44000,384.5
395,44800,354.0
397,45600,380.5
399,46400,365.0
401,47200,396.0
403,48000,400.0
406,48800,330.0
408,49600,322.5
411,50400,304.6667
414,51200,281.3333
416,52000,317.5
419,52800,289.3333
421,53600,329.0
423,54400,371.0
426,55200,277.6667
429,56000,287.0
431,56800,385.5
433,57600,400.0
435,58400,400.0
437,59200,400.0
439,60000,392.0
441,60800,400.0
443,61600,400.0
445,62400,400.0
447,63200,400.0
449,64000,379.5
451,64800,360.0
454,65600,320.0
456,66400,400.0
458,67200,400.0
460,68000,343.5
463,68800,270.0
465,69600,400.0
467,70400,400.0
469,71200,400.0
471,72000,400.0
473,72800,400.0
475,73600,400.0
477,74400,400.0
479,75200,400.0
482,76000,356.6667
484,76800,400.0
486,77600,377.0
488,78400,400.0
490,79200,307.0
492,80000,400.0
494,80800,400.0
496,81600,400.0
498,82400,360.5
500,83200,378.0
502,84000,400.0
505,84800,391.3333
507,85600,400.0
509,86400,400.0
511,87200,391.0
513,88000,372.0
515,88800,400.0
517,89600,334.5
519,90400,369.0
522,91200,360.6667
524,92000,373.5
526,92800,386.5
528,93600,357.5
530,94400,348.5
533,95200,345.0
535,96000,356.0
538,96800,236.0
541,97600,336.3333
543,98400,375.5
545,99200,299.5
547,100000,368.5
