episode,timestep,reward
1,2000,-455.8888
3,4000,-296.2444
5,6000,-231.2999
7,8000,-334.8376
9,10000,-281.3239
11,12000,-219.5132
13,14000,-252.0754
15,16000,-279.9791
17,18000,-324.8906
19,20000,-236.5947
21,22000,-278.8225
23,24000,-248.5843
25,26000,-247.7373
27,28000,-253.2704
29,30000,-234.5701
31,32000,-214.8168
33,34000,-203.6854
35,36000,-158.2602
37,38000,-207.0547
39,40000,-259.9111
41,42000,-234.9812
43,44000,-179.006
45,46000,-178.8491
47,48000,-241.5648
49,50000,-182.6178
51,52000,-228.2029
53,54000,-124.0586
55,56000,-196.7305
57,58000,-205.49
59,60000,-146.4622
61,62000,-205.3618
63,64000,-257.9941
65,66000,-200.5378
67,68000,-197.1585
69,70000,-129.1838
71,72000,-187.6556
73,74000,-156.7551
75,76000,-228.4879
77,78000,-144.2597
79,80000,-196.8196
81,82000,-157.9169
83,84000,-176.0112
85,86000,-195.1214
87,88000,-177.5632
89,90000,-213.6226
91,92000,-180.0881
93,94000,-215.8726
95,96000,-173.3827
97,98000,-197.6048
99,100000,-154.1878
101,102000,-172.2593
103,104000,-148.5909
105,106000,-138.8163
107,108000,-66.8012
109,110000,-169.6316
111,112000,-162.3925
113,114000,-131.8778
115,116000,-90.3834
117,118000,-136.0259
119,120000,-74.5786
121,122000,-121.3549
123,124000,-153.1307
125,126000,-99.5259
127,128000,-128.2447
129,130000,-193.2684
131,132000,-64.1352
133,134000,-124.7969
135,136000,-212.3247
137,138000,-98.2923
139,140000,-108.9006
141,142000,-122.8551
143,144000,-126.3077
145,146000,-152.9328
147,148000,-83.3059
149,150000,-7.0741
151,152000,-68.4739
153,154000,-107.8655
155,156000,-43.9955
157,158000,-66.0119
159,160000,-30.4734
161,162000,-113.7941
163,164000,-35.7063
165,166000,-103.0002
167,168000,-67.2105
169,170000,-51.323
171,172000,-1.3389
173,174000,-78.0902
175,176000,8.8031
177,178000,4.2541
179,180000,-55.9408
181,182000,-115.7786
183,184000,-34.7979
185,186000,-72.6919
187,188000,-203.9084
189,190000,-0.6218
191,192000,-4.3271
193,194000,-88.3427
195,196000,71.074
197,198000,-51.0036
199,200000,6.3972
201,202000,3.2422
203,204000,-72.025
205,206000,-37.6768
207,208000,39.1568
209,210000,-124.2058
211,212000,125.3367
213,214000,103.4521
215,216000,41.355
217,218000,-12.244
219,220000,102.1613
221,222000,-4.4231
223,224000,14.5019
225,226000,142.2741
227,228000,173.1474
229,230000,195.9193
231,232000,139.9261
233,234000,-35.5782
235,236000,69.2502
237,238000,90.8998
239,240000,6.5719
241,242000,101.5823
243,244000,139.154
245,246000,84.4963
247,248000,167.8457
249,250000,204.5933
251,252000,88.6593
253,254000,126.5184
255,256000,70.3541
257,258000,155.4381
259,260000,142.2892
261,262000,228.9748
263,264000,78.3306
265,266000,198.8286
267,268000,229.9053
269,270000,202.4937
271,272000,36.0764
273,274000,-100.3258
275,276000,26.8901
277,278000,218.9048
279,280000,151.8597
281,282000,248.9319
283,284000,197.11
285,286000,160.8946
287,288000,71.0261
289,290000,273.8198
291,292000,262.2689
293,294000,286.9015
295,296000,-66.8165
297,298000,-65.1621
299,300000,193.5313
301,302000,189.4535
303,304000,152.1471
305,306000,-8.2097
307,308000,5.3485
309,310000,72.6423
311,312000,188.0619
313,314000,191.8385
315,316000,182.6907
317,318000,261.2245
319,320000,183.1007
321,322000,192.8931
323,324000,224.1617
325,326000,302.4645
327,328000,166.5992
329,330000,-34.2739
331,332000,210.397
333,334000,234.9186
335,336000,264.2449
337,338000,230.0751
339,340000,213.3534
341,342000,318.2872
343,344000,168.1215
345,346000,112.4675
347,348000,70.1
349,350000,281.5392
351,352000,242.9886
353,354000,282.5278
355,356000,291.7117
357,358000,162.4701
359,360000,273.351
361,362000,-25.0563
363,364000,275.555
365,366000,288.1955
367,368000,244.1036
369,370000,298.5398
371,372000,224.0856
373,374000,301.0819
375,376000,164.5451
377,378000,236.3747
379,380000,309.3763
381,382000,163.068
383,384000,182.7898
385,386000,306.5402
387,388000,259.1249
389,390000,260.559
391,392000,204.7738
393,394000,305.2291
395,396000,259.3313
397,398000,430.789
399,400000,-68.0538
401,402000,266.572
403,404000,182.3123
405,406000,315.4674
407,408000,170.8329
409,410000,374.8474
411,412000,253.1513
413,414000,-70.1967
415,416000,258.757
417,418000,-48.6202
419,420000,325.6266
421,422000,110.6203
423,424000,296.5873
425,426000,70.8863
427,428000,306.0958
429,430000,413.7546
431,432000,282.9295
433,434000,397.7288
435,436000,216.1338
437,438000,401.6147
439,440000,376.9248
441,442000,262.4227
443,444000,194.3415
445,446000,295.0267
447,448000,403.403
449,450000,402.7403
451,452000,364.4934
453,454000,206.0907
455,456000,315.5346
457,458000,367.0439
459,460000,227.6003
461,462000,234.7207
463,464000,280.416
465,466000,300.2564
467,468000,372.7577
469,470000,312.7999
471,472000,234.7612
473,474000,-146.3519
475,476000,305.8188
477,478000,383.6615
479,480000,307.4182
481,482000,380.4676
483,484000,241.3074
485,486000,342.045
487,488000,364.4622
489,490000,311.0486
491,492000,178.1644
493,494000,334.4057
495,496000,167.0036
497,498000,183.9595
499,500000,348.6471
501,502000,414.3162
503,504000,403.2001
505,506000,380.3776
507,508000,233.5886
509,510000,519.6043
511,512000,300.6406
513,514000,415.9842
515,516000,292.9626
517,518000,460.1375
519,520000,405.829
521,522000,373.9622
523,524000,353.2571
525,526000,362.1029
527,528000,415.6161
529,530000,405.2773
531,532000,524.1479
533,534000,115.1768
535,536000,435.2527
537,538000,464.0433
539,540000,487.9476
541,542000,413.7105
543,544000,438.9944
545,546000,297.4972
547,548000,347.3218
549,550000,416.7802
551,552000,216.9453
553,554000,353.6329
555,556000,396.4883
557,558000,393.645
559,560000,456.1986
561,562000,397.0187
563,564000,353.2474
565,566000,430.0823
567,568000,412.8672
569,570000,487.4453
571,572000,397.9615
573,574000,379.2742
575,576000,458.0263
577,578000,296.4038
579,580000,372.0238
581,582000,382.3488
583,584000,222.4997
585,586000,373.6064
587,588000,431.7621
589,590000,547.5698
591,592000,155.5351
593,594000,443.9505
595,596000,405.121
597,598000,515.1549
599,600000,348.9358
601,602000,451.3318
603,604000,557.3358
605,606000,364.9181
607,608000,422.9253
609,610000,443.7205
611,612000,401.8797
613,614000,238.3451
615,616000,576.4148
617,618000,390.6811
619,620000,467.6571
621,622000,275.9396
623,624000,501.3366
625,626000,452.2413
627,628000,528.0465
629,630000,456.0815
631,632000,570.1654
633,634000,426.1756
635,636000,528.3914
637,638000,312.507
