episode,timestep,reward
6,600,-150.5049
12,1200,-123.0649
18,1800,-182.9426
24,2400,-146.5384
30,3000,-168.5723
36,3600,-104.9096
42,4200,-175.2711
48,4800,-146.3557
54,5400,-110.8032
59,6000,-149.1567
64,6600,-115.359
70,7200,-138.2819
76,7800,-107.7284
82,8400,-120.7455
89,9000,-89.5428
95,9600,-101.2614
101,10200,-127.7881
108,10800,-113.0462
113,11400,-158.1724
120,12000,-105.4628
126,12600,-100.9024
132,13200,-89.587
138,13800,-120.9951
145,14400,-73.8261
151,15000,-65.3195
156,15600,-74.8674
163,16200,-67.489
168,16800,-75.4461
173,17400,-87.6754
179,18000,-51.0017
183,18600,-51.8722
188,19200,-32.7321
193,19800,-26.2609
196,20400,-45.6721
199,21000,22.2352
201,21600,-119.0743
204,22200,6.4579
208,22800,-27.9439
211,23400,-260.9877
214,24000,-134.6507
216,24600,52.1287
218,25200,-105.9506
222,25800,3.2088
227,26400,-21.6739
230,27000,8.0748
233,27600,-81.2851
237,28200,-82.8781
239,28800,-9.1957
242,29400,22.5942
245,30000,9.2029
247,30600,72.3266
249,31200,55.6392
251,31800,-19.6677
255,32400,-93.4567
257,33000,77.2634
259,33600,-90.1708
261,34200,66.9361
264,34800,53.5332
266,35400,43.6862
269,36000,20.0316
272,36600,30.6397
274,37200,-124.5777
277,37800,20.7808
279,38400,78.7804
282,39000,23.718
284,39600,93.3381
286,40200,40.9041
290,40800,-21.1368
293,41400,6.2996
296,42000,36.7966
299,42600,34.3101
302,43200,-18.7049
304,43800,87.3942
306,44400,78.4265
308,45000,108.9346
311,45600,26.1027
313,46200,0.2233
316,46800,25.3622
319,47400,-45.3907
321,48000,129.1947
323,48600,38.3061
326,49200,4.2474
328,49800,7.2555
330,50400,116.7033
332,51000,61.6488
334,51600,39.8629
336,52200,62.0656
338,52800,90.3711
340,53400,91.7748
342,54000,85.9978
345,54600,58.944
347,55200,68.1394
349,55800,133.2434
352,56400,9.0555
354,57000,79.3462
357,57600,23.8872
359,58200,122.3363
361,58800,-28.5693
364,59400,-35.3535
367,60000,23.0096
369,60600,75.3478
371,61200,77.4857
373,61800,93.7054
375,62400,80.3839
378,63000,78.0744
380,63600,54.4777
383,64200,67.4972
385,64800,46.7679
388,65400,19.4228
390,66000,60.3922
392,66600,85.7497
394,67200,135.466
397,67800,15.7476
399,68400,58.7303
401,69000,60.7327
403,69600,44.8549
405,70200,59.6007
407,70800,60.8128
409,71400,76.8444
411,72000,38.4668
415,72600,43.1855
417,73200,157.3995
419,73800,107.6123
422,74400,29.1861
424,75000,47.7148
426,75600,143.9799
428,76200,124.0465
430,76800,120.6341
432,77400,121.1688
435,78000,18.3952
437,78600,77.4783
439,79200,93.6488
441,79800,129.0045
443,80400,121.1981
445,81000,59.2412
448,81600,54.2235
450,82200,94.3015
452,82800,144.9191
454,83400,100.9804
456,84000,130.6788
458,84600,111.5826
461,85200,50.9969
463,85800,76.9982
465,86400,49.9215
467,87000,114.5157
470,87600,59.5932
473,88200,52.9497
476,88800,71.0757
478,89400,63.8084
481,90000,90.5534
483,90600,97.0546
486,91200,-2.1788
488,91800,85.5159
491,92400,93.6243
494,93000,106.6671
496,93600,-17.2349
499,94200,45.5912
501,94800,67.2067
504,95400,107.4008
507,96000,25.0177
509,96600,77.1864
512,97200,37.2176
515,97800,82.865
519,98400,42.1126
521,99000,131.7736
524,99600,72.1019
527,100200,20.0296
530,100800,11.2472
533,101400,-22.1869
535,102000,60.7904
537,102600,165.4846
540,103200,81.2583
543,103800,77.4421
545,104400,60.0196
547,105000,145.3941
549,105600,149.8919
552,106200,40.2171
554,106800,146.5961
557,107400,65.6822
559,108000,101.2228
561,108600,90.1856
563,109200,73.7957
566,109800,63.9228
568,110400,98.2279
570,111000,50.8863
572,111600,64.931
575,112200,91.2706
577,112800,97.4812
579,113400,32.0172
581,114000,89.3888
583,114600,115.0848
585,115200,92.778
587,115800,143.7842
589,116400,145.0301
591,117000,97.7598
593,117600,94.357
595,118200,169.4371
597,118800,166.3824
599,119400,121.6313
601,120000,54.6077
603,120600,128.0378
605,121200,123.8447
607,121800,90.3747
610,122400,94.8448
612,123000,111.5271
614,123600,150.6541
616,124200,99.7551
618,124800,142.0789
620,125400,164.6205
622,126000,156.5022
624,126600,143.4943
626,127200,127.0674
628,127800,146.6278
630,128400,130.0452
632,129000,140.3165
634,129600,191.7468
636,130200,165.2862
639,130800,107.7829
641,131400,164.9333
643,132000,70.3161
645,132600,163.5107
648,133200,103.8302
650,133800,17.7237
652,134400,152.0886
654,135000,153.0594
658,135600,65.191
660,136200,65.7896
662,136800,140.6428
664,137400,172.7193
666,138000,173.3675
668,138600,81.7607
671,139200,56.7214
673,139800,103.7345
675,140400,69.0795
679,141000,96.3901
681,141600,141.8751
684,142200,52.0121
686,142800,157.1589
688,143400,143.4046
691,144000,62.8461
693,144600,173.2857
696,145200,54.3692
698,145800,146.776
700,146400,144.3489
702,147000,161.843
704,147600,183.2625
706,148200,128.6151
708,148800,130.8725
710,149400,159.7725
712,150000,156.8675
714,150600,166.0155
716,151200,151.0566
718,151800,154.6553
720,152400,152.9194
722,153000,170.6791
724,153600,160.9668
726,154200,171.7069
728,154800,96.7515
731,155400,95.5702
733,156000,26.9994
736,156600,18.5586
739,157200,56.7649
741,157800,128.6038
745,158400,54.9893
747,159000,151.931
749,159600,174.333
751,160200,126.2079
753,160800,143.834
755,161400,20.3495
757,162000,192.2493
760,162600,33.463
762,163200,-21.8545
764,163800,146.1524
766,164400,137.1479
768,165000,133.6081
770,165600,-44.5241
772,166200,100.6758
774,166800,137.4408
776,167400,130.7907
778,168000,109.2748
780,168600,82.3063
782,169200,144.9005
785,169800,44.0737
787,170400,154.6202
789,171000,141.2223
791,171600,144.2038
793,172200,160.0804
795,172800,141.5558
798,173400,113.8342
802,174000,32.5879
805,174600,60.4408
807,175200,72.1667
809,175800,143.4468
812,176400,125.6762
814,177000,81.0662
817,177600,97.9526
819,178200,101.7067
821,178800,160.6291
824,179400,22.5214
826,180000,140.4938
828,180600,151.8568
830,181200,73.3905
832,181800,109.6586
835,182400,92.6716
837,183000,81.544
